date,channel,revenue_usd
2024-01-24,Direct,581.84
2024-01-24,Email,293.46
2024-01-24,Organic Search,706.83
2024-01-24,Paid Search,1011.03
2024-01-24,Referral,370.92
2024-01-24,Social,188.98
2024-01-25,Direct,493.43
2024-01-25,Email,285.0
2024-01-25,Organic Search,703.45
2024-01-25,Paid Search,1069.05
2024-01-25,Referral,286.56
2024-01-25,Social,206.3
2024-01-26,Direct,618.72
2024-01-26,Email,278.14
2024-01-26,Organic Search,741.71
2024-01-26,Paid Search,362.88
2024-01-26,Referral,353.6
2024-01-26,Social,201.67
2024-01-27,Direct,480.87
2024-01-27,Email,240.4
2024-01-27,Organic Search,662.55
2024-01-27,Paid Search,815.26
2024-01-27,Referral,235.15
2024-01-27,Social,194.34
2024-01-28,Direct,424.97
2024-01-28,Email,210.11
2024-01-28,Organic Search,671.29
2024-01-28,Paid Search,754.62
2024-01-28,Referral,231.31
2024-01-28,Social,215.25
2024-01-29,Direct,604.54
2024-01-29,Email,315.76
2024-01-29,Organic Search,779.28
2024-01-29,Paid Search,940.15
2024-01-29,Referral,371.54
2024-01-29,Social,224.94
2024-01-30,Direct,590.45
2024-01-30,Email,337.07
2024-01-30,Organic Search,790.5
2024-01-30,Paid Search,1107.05
2024-01-30,Referral,416.07
2024-01-30,Social,224.65
2024-01-31,Direct,654.44
2024-01-31,Email,263.76
2024-01-31,Organic Search,818.6
2024-01-31,Paid Search,1063.31
2024-01-31,Referral,390.19
2024-01-31,Social,179.71
2024-02-01,Direct,319.81
2024-02-01,Email,326.14
2024-02-01,Organic Search,639.01
2024-02-01,Paid Search,958.61
2024-02-01,Referral,327.2
2024-02-01,Social,203.28
2024-02-02,Direct,583.68
2024-02-02,Email,378.36
2024-02-02,Organic Search,792.77
2024-02-02,Paid Search,1029.3
2024-02-02,Referral,387.77
2024-02-02,Social,257.55
2024-02-03,Direct,446.34
2024-02-03,Email,314.33
2024-02-03,Organic Search,712.44
2024-02-03,Paid Search,814.12
2024-02-03,Referral,213.72
2024-02-03,Social,232.48
2024-02-04,Direct,479.4
2024-02-04,Email,291.81
2024-02-04,Organic Search,525.62
2024-02-04,Paid Search,735.96
2024-02-04,Referral,210.34
2024-02-04,Social,199.02
2024-02-05,Direct,520.77
2024-02-05,Email,238.9
2024-02-05,Organic Search,583.38
2024-02-05,Paid Search,963.2
2024-02-05,Referral,284.99
2024-02-05,Social,241.49
2024-02-06,Direct,576.9
2024-02-06,Email,238.08
2024-02-06,Organic Search,761.22
2024-02-06,Paid Search,888.08
2024-02-06,Referral,371.44
2024-02-06,Social,228.63
2024-02-07,Direct,689.02
2024-02-07,Email,303.81
2024-02-07,Organic Search,848.63
2024-02-07,Paid Search,1013.93
2024-02-07,Referral,391.15
2024-02-07,Social,244.49
2024-02-08,Direct,653.06
2024-02-08,Email,279.44
2024-02-08,Organic Search,760.88
2024-02-08,Paid Search,1027.53
2024-02-08,Referral,389.57
2024-02-08,Social,242.18
2024-02-09,Direct,592.55
2024-02-09,Email,204.95
2024-02-09,Organic Search,814.86
2024-02-09,Paid Search,984.73
2024-02-09,Referral,313.54
2024-02-09,Social,277.46
2024-02-10,Direct,447.28
2024-02-10,Email,231.48
2024-02-10,Organic Search,650.04
2024-02-10,Paid Search,738.73
2024-02-10,Referral,188.99
2024-02-10,Social,200.01
2024-02-11,Direct,522.15
2024-02-11,Email,264.16
2024-02-11,Organic Search,565.63
2024-02-11,Paid Search,716.47
2024-02-11,Referral,223.66
2024-02-11,Social,215.19
2024-02-12,Direct,719.77
2024-02-12,Email,366.88
2024-02-12,Organic Search,808.97
2024-02-12,Paid Search,1220.94
2024-02-12,Referral,363.44
2024-02-12,Social,266.12
2024-02-13,Direct,731.69
2024-02-13,Email,374.86
2024-02-13,Organic Search,750.37
2024-02-13,Paid Search,1307.01
2024-02-13,Referral,418.14
2024-02-13,Social,252.51
2024-02-14,Direct,770.5
2024-02-14,Email,317.66
2024-02-14,Organic Search,1004.73
2024-02-14,Paid Search,1257.96
2024-02-14,Referral,417.28
2024-02-14,Social,244.85
2024-02-15,Direct,541.64
2024-02-15,Email,260.96
2024-02-15,Organic Search,826.31
2024-02-15,Paid Search,1000.26
2024-02-15,Referral,342.69
2024-02-15,Social,267.76
2024-02-16,Direct,684.09
2024-02-16,Email,300.38
2024-02-16,Organic Search,760.5
2024-02-16,Paid Search,957.29
2024-02-16,Referral,370.18
2024-02-16,Social,217.3
2024-02-17,Direct,448.6
2024-02-17,Email,227.66
2024-02-17,Organic Search,615.79
2024-02-17,Paid Search,747.2
2024-02-17,Referral,329.3
2024-02-17,Social,218.25
2024-02-18,Direct,485.96
2024-02-18,Email,80.74
2024-02-18,Organic Search,583.39
2024-02-18,Paid Search,664.44
2024-02-18,Referral,245.77
2024-02-18,Social,243.34
2024-02-19,Direct,504.17
2024-02-19,Email,256.98
2024-02-19,Organic Search,793.81
2024-02-19,Paid Search,885.91
2024-02-19,Referral,361.52
2024-02-19,Social,232.72
2024-02-20,Direct,553.84
2024-02-20,Email,325.38
2024-02-20,Organic Search,716.25
2024-02-20,Paid Search,892.44
2024-02-20,Referral,350.17
2024-02-20,Social,231.23
2024-02-21,Direct,623.61
2024-02-21,Email,299.82
2024-02-21,Organic Search,740.72
2024-02-21,Paid Search,1061.57
2024-02-21,Referral,326.24
2024-02-21,Social,216.99
2024-02-22,Direct,608.62
2024-02-22,Email,220.55
2024-02-22,Organic Search,722.36
2024-02-22,Paid Search,1017.89
2024-02-22,Referral,375.0
2024-02-22,Social,228.79
2024-02-23,Direct,558.19
2024-02-23,Email,265.42
2024-02-23,Organic Search,818.6
2024-02-23,Paid Search,945.01
2024-02-23,Referral,338.85
2024-02-23,Social,207.81
2024-02-24,Direct,463.77
2024-02-24,Email,204.56
2024-02-24,Organic Search,619.3
2024-02-24,Paid Search,728.87
2024-02-24,Referral,228.66
2024-02-24,Social,272.95
2024-02-25,Direct,438.49
2024-02-25,Email,195.01
2024-02-25,Organic Search,635.33
2024-02-25,Paid Search,645.51
2024-02-25,Referral,230.66
2024-02-25,Social,162.95
2024-02-26,Direct,622.61
2024-02-26,Email,270.38
2024-02-26,Organic Search,686.1
2024-02-26,Paid Search,978.37
2024-02-26,Referral,389.48
2024-02-26,Social,211.91
2024-02-27,Direct,480.11
2024-02-27,Email,276.02
2024-02-27,Organic Search,721.3
2024-02-27,Paid Search,848.96
2024-02-27,Referral,373.66
2024-02-27,Social,117.2
2024-02-28,Direct,642.94
2024-02-28,Email,314.68
2024-02-28,Organic Search,776.16
2024-02-28,Paid Search,919.34
2024-02-28,Referral,330.18
2024-02-28,Social,194.17
2024-02-29,Direct,539.03
2024-02-29,Email,299.63
2024-02-29,Organic Search,655.76
2024-02-29,Paid Search,961.73
2024-02-29,Referral,368.46
2024-02-29,Social,214.4
2024-03-01,Direct,574.7
2024-03-01,Email,83.46
2024-03-01,Organic Search,749.96
2024-03-01,Paid Search,941.79
2024-03-01,Referral,350.27
2024-03-01,Social,180.07
2024-03-02,Direct,409.44
2024-03-02,Email,236.71
2024-03-02,Organic Search,626.74
2024-03-02,Paid Search,759.84
2024-03-02,Referral,260.47
2024-03-02,Social,219.02
2024-03-03,Direct,469.5
2024-03-03,Email,253.28
2024-03-03,Organic Search,269.02
2024-03-03,Paid Search,830.78
2024-03-03,Referral,234.03
2024-03-03,Social,214.82
2024-03-04,Direct,600.8
2024-03-04,Email,273.88
2024-03-04,Organic Search,612.99
2024-03-04,Paid Search,988.42
2024-03-04,Referral,307.8
2024-03-04,Social,170.46
2024-03-05,Direct,591.15
2024-03-05,Email,308.19
2024-03-05,Organic Search,847.77
2024-03-05,Paid Search,869.96
2024-03-05,Referral,338.74
2024-03-05,Social,131.49
2024-03-06,Direct,597.37
2024-03-06,Email,274.28
2024-03-06,Organic Search,803.98
2024-03-06,Paid Search,890.57
2024-03-06,Referral,314.17
2024-03-06,Social,160.32
2024-03-07,Direct,570.86
2024-03-07,Email,333.07
2024-03-07,Organic Search,758.13
2024-03-07,Paid Search,856.42
2024-03-07,Referral,311.46
2024-03-07,Social,188.56
2024-03-08,Direct,572.28
2024-03-08,Email,239.03
2024-03-08,Organic Search,604.94
2024-03-08,Paid Search,945.92
2024-03-08,Referral,294.51
2024-03-08,Social,312.21
2024-03-09,Direct,456.38
2024-03-09,Email,232.07
2024-03-09,Organic Search,573.26
2024-03-09,Paid Search,690.63
2024-03-09,Referral,188.38
2024-03-09,Social,217.6
2024-03-10,Direct,442.93
2024-03-10,Email,221.81
2024-03-10,Organic Search,550.84
2024-03-10,Paid Search,802.74
2024-03-10,Referral,238.83
2024-03-10,Social,181.29
2024-03-11,Direct,559.56
2024-03-11,Email,283.97
2024-03-11,Organic Search,755.97
2024-03-11,Paid Search,1190.34
2024-03-11,Referral,399.06
2024-03-11,Social,209.53
2024-03-12,Direct,601.41
2024-03-12,Email,239.9
2024-03-12,Organic Search,794.64
2024-03-12,Paid Search,889.73
2024-03-12,Referral,387.02
2024-03-12,Social,188.35
2024-03-13,Direct,643.57
2024-03-13,Email,310.91
2024-03-13,Organic Search,791.25
2024-03-13,Paid Search,987.9
2024-03-13,Referral,421.36
2024-03-13,Social,172.24
2024-03-14,Direct,535.09
2024-03-14,Email,224.64
2024-03-14,Organic Search,878.91
2024-03-14,Paid Search,936.05
2024-03-14,Referral,310.87
2024-03-14,Social,203.81
2024-03-15,Direct,575.39
2024-03-15,Email,246.92
2024-03-15,Organic Search,766.44
2024-03-15,Paid Search,958.41
2024-03-15,Referral,379.58
2024-03-15,Social,264.67
2024-03-16,Direct,421.39
2024-03-16,Email,200.18
2024-03-16,Organic Search,704.09
2024-03-16,Paid Search,766.5
2024-03-16,Referral,249.77
2024-03-16,Social,252.41
2024-03-17,Direct,446.51
2024-03-17,Email,238.47
2024-03-17,Organic Search,614.93
2024-03-17,Paid Search,695.16
2024-03-17,Referral,232.21
2024-03-17,Social,177.1
2024-03-18,Direct,651.11
2024-03-18,Email,398.95
2024-03-18,Organic Search,953.04
2024-03-18,Paid Search,1262.52
2024-03-18,Referral,474.28
2024-03-18,Social,260.28
2024-03-19,Direct,679.48
2024-03-19,Email,309.98
2024-03-19,Organic Search,894.41
2024-03-19,Paid Search,1345.03
2024-03-19,Referral,417.71
2024-03-19,Social,271.88
2024-03-20,Direct,678.82
2024-03-20,Email,371.3
2024-03-20,Organic Search,936.93
2024-03-20,Paid Search,1331.17
2024-03-20,Referral,337.28
2024-03-20,Social,249.26
2024-03-21,Direct,670.82
2024-03-21,Email,447.25
2024-03-21,Organic Search,910.74
2024-03-21,Paid Search,1266.77
2024-03-21,Referral,466.77
2024-03-21,Social,149.71
2024-03-22,Direct,694.93
2024-03-22,Email,464.63
2024-03-22,Organic Search,859.43
2024-03-22,Paid Search,1219.57
2024-03-22,Referral,443.26
2024-03-22,Social,236.66
2024-03-23,Direct,501.65
2024-03-23,Email,380.79
2024-03-23,Organic Search,948.52
2024-03-23,Paid Search,1208.41
2024-03-23,Referral,310.46
2024-03-23,Social,190.21
2024-03-24,Direct,547.81
2024-03-24,Email,239.51
2024-03-24,Organic Search,774.3
2024-03-24,Paid Search,1103.76
2024-03-24,Referral,264.1
2024-03-24,Social,286.64
2024-03-25,Direct,622.82
2024-03-25,Email,285.11
2024-03-25,Organic Search,819.01
2024-03-25,Paid Search,1057.43
2024-03-25,Referral,364.9
2024-03-25,Social,216.2
2024-03-26,Direct,247.06
2024-03-26,Email,327.54
2024-03-26,Organic Search,833.04
2024-03-26,Paid Search,973.57
2024-03-26,Referral,418.54
2024-03-26,Social,142.86
2024-03-27,Direct,529.33
2024-03-27,Email,265.19
2024-03-27,Organic Search,794.17
2024-03-27,Paid Search,936.08
2024-03-27,Referral,370.01
2024-03-27,Social,214.11
2024-03-28,Direct,567.64
2024-03-28,Email,238.5
2024-03-28,Organic Search,616.81
2024-03-28,Paid Search,953.76
2024-03-28,Referral,163.9
2024-03-28,Social,224.9
2024-03-29,Direct,601.54
2024-03-29,Email,326.39
2024-03-29,Organic Search,809.32
2024-03-29,Paid Search,890.41
2024-03-29,Referral,319.03
2024-03-29,Social,154.33
2024-03-30,Direct,455.6
2024-03-30,Email,293.44
2024-03-30,Organic Search,572.35
2024-03-30,Paid Search,873.17
2024-03-30,Referral,224.02
2024-03-30,Social,209.23
2024-03-31,Direct,430.25
2024-03-31,Email,250.69
2024-03-31,Organic Search,652.38
2024-03-31,Paid Search,769.54
2024-03-31,Referral,291.46
2024-03-31,Social,175.23
2024-04-01,Direct,601.4
2024-04-01,Email,241.11
2024-04-01,Organic Search,806.55
2024-04-01,Paid Search,1102.55
2024-04-01,Referral,279.69
2024-04-01,Social,227.49
2024-04-02,Direct,654.24
2024-04-02,Email,223.93
2024-04-02,Organic Search,662.64
2024-04-02,Paid Search,967.63
2024-04-02,Referral,384.51
2024-04-02,Social,227.19
2024-04-03,Direct,641.23
2024-04-03,Email,300.33
2024-04-03,Organic Search,789.69
2024-04-03,Paid Search,1037.24
2024-04-03,Referral,244.0
2024-04-03,Social,228.22
2024-04-04,Direct,685.07
2024-04-04,Email,264.37
2024-04-04,Organic Search,685.79
2024-04-04,Paid Search,1019.97
2024-04-04,Referral,366.97
2024-04-04,Social,248.4
2024-04-05,Direct,662.69
2024-04-05,Email,286.18
2024-04-05,Organic Search,619.78
2024-04-05,Paid Search,897.38
2024-04-05,Referral,404.7
2024-04-05,Social,129.17
2024-04-06,Direct,557.63
2024-04-06,Email,248.91
2024-04-06,Organic Search,563.09
2024-04-06,Paid Search,896.59
2024-04-06,Referral,239.13
2024-04-06,Social,175.8
2024-04-07,Direct,442.22
2024-04-07,Email,226.58
2024-04-07,Organic Search,644.63
2024-04-07,Paid Search,765.71
2024-04-07,Referral,316.82
2024-04-07,Social,199.47
2024-04-08,Direct,640.74
2024-04-08,Email,225.88
2024-04-08,Organic Search,783.33
2024-04-08,Paid Search,925.42
2024-04-08,Referral,378.74
2024-04-08,Social,171.83
2024-04-09,Direct,601.03
2024-04-09,Email,275.27
2024-04-09,Organic Search,761.26
2024-04-09,Paid Search,1070.4
2024-04-09,Referral,398.14
2024-04-09,Social,71.63
2024-04-10,Direct,642.64
2024-04-10,Email,298.58
2024-04-10,Organic Search,837.73
2024-04-10,Paid Search,1020.31
2024-04-10,Referral,392.29
2024-04-10,Social,193.16
2024-04-11,Direct,544.49
2024-04-11,Email,301.35
2024-04-11,Organic Search,783.68
2024-04-11,Paid Search,1051.14
2024-04-11,Referral,378.64
2024-04-11,Social,176.81
2024-04-12,Direct,620.27
2024-04-12,Email,268.23
2024-04-12,Organic Search,830.36
2024-04-12,Paid Search,1033.76
2024-04-12,Referral,387.23
2024-04-12,Social,219.48
2024-04-13,Direct,551.39
2024-04-13,Email,304.31
2024-04-13,Organic Search,703.82
2024-04-13,Paid Search,671.11
2024-04-13,Referral,166.27
2024-04-13,Social,157.56
2024-04-14,Direct,500.74
2024-04-14,Email,223.28
2024-04-14,Organic Search,802.48
2024-04-14,Paid Search,750.75
2024-04-14,Referral,284.16
2024-04-14,Social,169.61
2024-04-15,Direct,580.71
2024-04-15,Email,198.36
2024-04-15,Organic Search,799.79
2024-04-15,Paid Search,962.39
2024-04-15,Referral,327.46
2024-04-15,Social,183.68
2024-04-16,Direct,574.47
2024-04-16,Email,338.17
2024-04-16,Organic Search,895.69
2024-04-16,Paid Search,1114.2
2024-04-16,Referral,363.1
2024-04-16,Social,229.22
2024-04-17,Direct,633.09
2024-04-17,Email,303.99
2024-04-17,Organic Search,827.02
2024-04-17,Paid Search,1043.76
2024-04-17,Referral,382.0
2024-04-17,Social,253.99
2024-04-18,Direct,652.29
2024-04-18,Email,283.58
2024-04-18,Organic Search,833.05
2024-04-18,Paid Search,1085.14
2024-04-18,Referral,415.1
2024-04-18,Social,238.33
2024-04-19,Direct,631.97
2024-04-19,Email,320.68
2024-04-19,Organic Search,807.67
2024-04-19,Paid Search,1020.04
2024-04-19,Referral,329.68
2024-04-19,Social,273.67
2024-04-20,Direct,495.6
2024-04-20,Email,258.02
2024-04-20,Organic Search,677.28
2024-04-20,Paid Search,854.83
2024-04-20,Referral,251.24
2024-04-20,Social,201.1
2024-04-21,Direct,469.7
2024-04-21,Email,217.02
2024-04-21,Organic Search,656.92
2024-04-21,Paid Search,811.93
2024-04-21,Referral,255.66
2024-04-21,Social,201.48
2024-04-22,Direct,658.49
2024-04-22,Email,250.48
2024-04-22,Organic Search,892.64
2024-04-22,Paid Search,1038.33
2024-04-22,Referral,378.08
2024-04-22,Social,203.28
2024-04-23,Direct,629.42
2024-04-23,Email,258.9
2024-04-23,Organic Search,767.91
2024-04-23,Paid Search,1075.59
2024-04-23,Referral,358.94
2024-04-23,Social,298.26
2024-04-24,Direct,602.12
2024-04-24,Email,294.76
2024-04-24,Organic Search,712.27
2024-04-24,Paid Search,1071.69
2024-04-24,Referral,395.43
2024-04-24,Social,186.84
2024-04-25,Direct,694.23
2024-04-25,Email,285.36
2024-04-25,Organic Search,785.47
2024-04-25,Paid Search,1282.39
2024-04-25,Referral,297.0
2024-04-25,Social,255.74
2024-04-26,Direct,659.39
2024-04-26,Email,349.01
2024-04-26,Organic Search,779.75
2024-04-26,Paid Search,997.78
2024-04-26,Referral,366.1
2024-04-26,Social,259.55
2024-04-27,Direct,499.56
2024-04-27,Email,251.37
2024-04-27,Organic Search,647.11
2024-04-27,Paid Search,739.91
2024-04-27,Referral,319.98
2024-04-27,Social,237.93
2024-04-28,Direct,262.41
2024-04-28,Email,250.18
2024-04-28,Organic Search,673.02
2024-04-28,Paid Search,862.01
2024-04-28,Referral,260.92
2024-04-28,Social,191.71
2024-04-29,Direct,617.49
2024-04-29,Email,280.25
2024-04-29,Organic Search,793.23
2024-04-29,Paid Search,1018.41
2024-04-29,Referral,392.72
2024-04-29,Social,193.72
2024-04-30,Direct,682.44
2024-04-30,Email,278.02
2024-04-30,Organic Search,823.7
2024-04-30,Paid Search,898.7
2024-04-30,Referral,416.32
2024-04-30,Social,230.1
2024-05-01,Direct,732.79
2024-05-01,Email,280.29
2024-05-01,Organic Search,797.33
2024-05-01,Paid Search,996.21
2024-05-01,Referral,392.72
2024-05-01,Social,254.11
2024-05-02,Direct,657.45
2024-05-02,Email,261.88
2024-05-02,Organic Search,870.48
2024-05-02,Paid Search,1285.66
2024-05-02,Referral,464.35
2024-05-02,Social,216.7
2024-05-03,Direct,667.08
2024-05-03,Email,323.69
2024-05-03,Organic Search,1021.43
2024-05-03,Paid Search,1019.24
2024-05-03,Referral,381.24
2024-05-03,Social,227.16
2024-05-04,Direct,492.74
2024-05-04,Email,274.52
2024-05-04,Organic Search,704.5
2024-05-04,Paid Search,737.26
2024-05-04,Referral,291.88
2024-05-04,Social,200.78
2024-05-05,Direct,630.57
2024-05-05,Email,274.02
2024-05-05,Organic Search,662.76
2024-05-05,Paid Search,1007.48
2024-05-05,Referral,280.36
2024-05-05,Social,221.8
2024-05-06,Direct,575.48
2024-05-06,Email,252.91
2024-05-06,Organic Search,670.48
2024-05-06,Paid Search,1010.27
2024-05-06,Referral,440.87
2024-05-06,Social,239.48
2024-05-07,Direct,650.72
2024-05-07,Email,338.53
2024-05-07,Organic Search,995.67
2024-05-07,Paid Search,1369.53
2024-05-07,Referral,362.43
2024-05-07,Social,291.58
2024-05-08,Direct,684.53
2024-05-08,Email,344.25
2024-05-08,Organic Search,872.18
2024-05-08,Paid Search,1082.27
2024-05-08,Referral,474.53
2024-05-08,Social,259.05
2024-05-09,Direct,623.55
2024-05-09,Email,391.59
2024-05-09,Organic Search,841.83
2024-05-09,Paid Search,1273.75
2024-05-09,Referral,353.12
2024-05-09,Social,199.74
2024-05-10,Direct,680.76
2024-05-10,Email,454.64
2024-05-10,Organic Search,776.54
2024-05-10,Paid Search,1409.1
2024-05-10,Referral,534.92
2024-05-10,Social,232.9
2024-05-11,Direct,544.35
2024-05-11,Email,470.55
2024-05-11,Organic Search,794.66
2024-05-11,Paid Search,1164.15
2024-05-11,Referral,283.13
2024-05-11,Social,281.41
2024-05-12,Direct,639.5
2024-05-12,Email,345.94
2024-05-12,Organic Search,814.09
2024-05-12,Paid Search,1116.87
2024-05-12,Referral,345.38
2024-05-12,Social,256.64
2024-05-13,Direct,717.75
2024-05-13,Email,400.57
2024-05-13,Organic Search,822.23
2024-05-13,Paid Search,1113.11
2024-05-13,Referral,385.0
2024-05-13,Social,309.68
2024-05-14,Direct,709.33
2024-05-14,Email,351.29
2024-05-14,Organic Search,761.27
2024-05-14,Paid Search,1159.87
2024-05-14,Referral,427.11
2024-05-14,Social,310.31
2024-05-15,Direct,716.18
2024-05-15,Email,346.71
2024-05-15,Organic Search,758.62
2024-05-15,Paid Search,1185.83
2024-05-15,Referral,406.66
2024-05-15,Social,214.16
2024-05-16,Direct,705.75
2024-05-16,Email,323.78
2024-05-16,Organic Search,1020.61
2024-05-16,Paid Search,1161.0
2024-05-16,Referral,426.12
2024-05-16,Social,254.51
2024-05-17,Direct,620.92
2024-05-17,Email,315.68
2024-05-17,Organic Search,879.97
2024-05-17,Paid Search,1155.67
2024-05-17,Referral,341.78
2024-05-17,Social,206.34
2024-05-18,Direct,510.21
2024-05-18,Email,270.98
2024-05-18,Organic Search,683.0
2024-05-18,Paid Search,848.77
2024-05-18,Referral,228.63
2024-05-18,Social,248.31
2024-05-19,Direct,572.7
2024-05-19,Email,362.47
2024-05-19,Organic Search,721.47
2024-05-19,Paid Search,896.9
2024-05-19,Referral,242.21
2024-05-19,Social,281.43
2024-05-20,Direct,627.14
2024-05-20,Email,327.45
2024-05-20,Organic Search,876.73
2024-05-20,Paid Search,1309.35
2024-05-20,Referral,336.09
2024-05-20,Social,252.09
2024-05-21,Direct,663.19
2024-05-21,Email,361.81
2024-05-21,Organic Search,767.07
2024-05-21,Paid Search,1095.81
2024-05-21,Referral,344.13
2024-05-21,Social,233.69
2024-05-22,Direct,606.94
2024-05-22,Email,373.42
2024-05-22,Organic Search,956.52
2024-05-22,Paid Search,1195.62
2024-05-22,Referral,365.59
2024-05-22,Social,261.77
2024-05-23,Direct,691.75
2024-05-23,Email,374.16
2024-05-23,Organic Search,870.96
2024-05-23,Paid Search,1287.25
2024-05-23,Referral,365.97
2024-05-23,Social,280.58
2024-05-24,Direct,682.78
2024-05-24,Email,351.2
2024-05-24,Organic Search,897.3
2024-05-24,Paid Search,1224.67
2024-05-24,Referral,394.97
2024-05-24,Social,281.52
2024-05-25,Direct,495.47
2024-05-25,Email,368.33
2024-05-25,Organic Search,827.5
2024-05-25,Paid Search,991.61
2024-05-25,Referral,256.99
2024-05-25,Social,217.43
2024-05-26,Direct,600.28
2024-05-26,Email,321.18
2024-05-26,Organic Search,645.83
2024-05-26,Paid Search,844.05
2024-05-26,Referral,259.94
2024-05-26,Social,210.44
2024-05-27,Direct,663.74
2024-05-27,Email,317.71
2024-05-27,Organic Search,832.93
2024-05-27,Paid Search,1216.88
2024-05-27,Referral,387.05
2024-05-27,Social,259.5
2024-05-28,Direct,680.74
2024-05-28,Email,331.4
2024-05-28,Organic Search,923.03
2024-05-28,Paid Search,1167.92
2024-05-28,Referral,446.69
2024-05-28,Social,240.24
2024-05-29,Direct,724.02
2024-05-29,Email,278.55
2024-05-29,Organic Search,972.32
2024-05-29,Paid Search,1175.81
2024-05-29,Referral,378.49
2024-05-29,Social,295.68
2024-05-30,Direct,729.11
2024-05-30,Email,364.42
2024-05-30,Organic Search,852.06
2024-05-30,Paid Search,1345.88
2024-05-30,Referral,396.79
2024-05-30,Social,241.0
